Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
149	13	0.393306888	3.09687515	101324.456	101323.8	101311.772	101325.53	0.235292754	0.15758388	0	66.9	0	0	3
150	13	0.396616975	3.11765955	101324.566	101323.838	101311.772	101325.53	0.273327325	0.16011023	0	58.5	0	0	3
151	13	0.399941181	3.13844394	101324.946	101323.884	101311.772	101325.53	0.319557461	0.162587045	0	50.8	0	0	3
152	13	0.4	3.15922834	101326.593	101323.886	101311.772	101326.593	0.321645054	0.165325176	0	51.3	0	0	3
153	13	0.403294	3.18001274	101327.764	101324.087	101311.772	101327.764	0.522759054	0.168348542	0	32.2	0	0	3
154	14	0.406109227	3.20079713	101327.286	101324.227	101319.327	101327.764	0.662752132	0.17131432	0	25.8	0	0	3
155	14	0.408987388	3.22158153	101325.162	101324.504	101319.327	101327.764	0.936367216	0.174224141	0	18.6	0	0	3
156	14	0.41	3.24236593	101325.069	101324.516	101319.327	101327.764	0.870699734	0.177079572	0	20.3	0	0	3
157	14	0.412791026	3.26315032	101324.965	101324.485	101319.327	101327.764	0.870699734	0.179882124	0	20.6	0	0	3
158	14	0.415758489	3.28393472	101324.314	101324.495	101319.327	101327.764	0.870699734	0.182633254	0	20.9	0	0	3
159	14	0.418857567	3.30471912	101324.651	101324.509	101319.327	101327.764	0.870699734	0.185334363	0	21.2	0	0	3
160	14	0.42	3.32550352	101324.074	101324.512	101319.327	101327.764	0.870699734	0.187986804	0	21.5	0	0	3
161	14	0.423330558	3.34628791	101324.271	101324.493	101319.327	101327.764	0.870699734	0.190591879	0	21.8	0	0	3
162	14	0.426754271	3.36707231	101324.714	101324.514	101321.768	101327.764	0.870699734	0.193150847	0	22.1	0	0	3
163	14	0.43	3.38785671	101324.941	101324.672	101322.849	101327.764	1.02697135	0.195664921	0	19	0	0	3
164	14	0.433342947	3.4086411	101324.928	101324.746	101322.849	101327.764	1.07557651	0.198135272	0	18.4	0	0	3
165	14	0.436710722	3.4294255	101324.555	101324.756	101322.849	101327.764	1.05314596	0.20056303	0	19	0	0	3
166	14	0.44	3.4502099	101324.58	101324.764	101322.849	101327.764	1.01763193	0.202949289	0	19.9	0	0	3
167	15	0.443308263	3.47099429	101324.245	101324.753	101322.849	101327.764	0.991767578	0.205295102	0	20.6	0	0	3
168	15	0.446594651	3.49177869	101324.1	101324.742	101322.849	101327.764	0.989674443	0.20760149	0	20.9	0	0	3
169	15	0.44985807	3.51256309	101324.082	101324.715	101323.198	101327.764	0.984499086	0.209869438	0	21.3	0	0	3
170	15	0.45	3.53334749	101323.521	101324.764	101323.198	101327.764	0.984499086	0.212099899	0	21.5	0	0	3
171	15	0.45327888	3.55413188	101324.024	101324.779	101323.198	101327.764	0.999022529	0.214293796	0	21.4	0	0	3
172	15	0.45658643	3.57491628	101324.043	101324.799	101323.198	101327.764	1.01923958	0.216452019	0	21.2	0	0	3
173	15	0.459893022	3.59570068	101324.102	101324.768	101323.521	101327.764	0.999634035	0.218575432	0	21.8	0	0	3
174	15	0.46	3.61648507	101323.038	101324.78	101323.038	101327.764	0.961599464	0.220664871	0	22.9	0	0	3
175	15	0.463287432	3.63726947	101323.234	101324.715	101323.038	101327.764	0.915369329	0.222721144	0	24.3	0	0	3
176	15	0.466254831	3.65805387	101324.716	101324.703	101323.038	101327.764	0.913281735	0.224745034	0	24.6	0	0	3
177	15	0.469279596	3.67883826	101323.873	101324.665	101323.038	101327.764	0.712167735	0.226737302	0	31.8	0	0	3
178	15	0.47	3.69962266	101323.401	101324.499	101323.038	101327.286	0.572174657	0.226941844	0	39.6	0	0	3
179	15	0.473043695	3.72040706	101323.718	101324.346	101323.038	101325.162	0.453212015	0.227143239	0	50.1	0	0	3
180	16	0.476125862	3.74119146	101323.858	101324.289	101323.038	101325.069	0.510624846	0.22734156	0	44.5	0	0	3
181	16	0.479225949	3.76197585	101323.928	101324.261	101323.038	101324.965	0.538173187	0.227536876	0	42.2	0	0	3
182	16	0.48	3.78276025	101323.831	101324.227	101323.038	101324.941	0.57234445	0.227729255	0	39.7	0	0	3
183	16	0.483133221	3.80354465	101323.945	101324.21	101323.038	101324.941	0.589321169	0.227918762	0	38.6	0	0	3
184	16	0.486308811	3.82432904	101323.832	101324.172	101323.038	101324.941	0.627383564	0.228105462	0	36.3	0	0	3
185	16	0.489563592	3.84511344	101323.838	101324.158	101323.038	101324.941	0.641380324	0.228289416	0	35.5	0	0	3
186	16	0.49	3.86589784	101323.703	101324.149	101323.038	101324.941	0.649987651	0.227936102	0	35	0	0	3
187	16	0.493304832	3.88668223	101323.763	101324.101	101323.038	101324.941	0.698210187	0.227352909	0	32.5	0	0	3
188	16	0.496663382	3.90746663	101323.784	101324.044	101323.038	101324.928	0.755093206	0.226778107	0	30	0	0	3
189	16	0.499988059	3.92825103	101323.662	101323.981	101323.038	101324.716	0.818485619	0.226211516	0	27.6	0	0	3
190	16	0.503303244	3.94903542	101323.736	101323.939	101323.038	101324.716	0.859746328	0.225652962	0	26.2	0	0	3
191	16	0.506612783	3.96981982	101323.762	101323.899	101323.038	101324.716	0.900208922	0.225102275	0	25	0	0	3
192	16	0.509931456	3.99060422	101323.811	101323.877	101323.038	101324.716	0.921794389	0.22455929	0	24.3	0	0	3
193	17	0.51	4.01138862	101322.964	101323.865	101322.964	101324.716	0.934313107	0.223999948	0	23.9	0	0	3
194	17	0.513332759	4.03217301	101323.752	101323.848	101322.964	101324.716	0.951445169	0.223448321	0	23.4	0	0	3
195	17	0.516648472	4.05295741	101323.919	101323.852	101322.964	101324.716	0.951445169	0.222904251	0	23.4	0	0	3
196	17	0.519914147	4.07374181	101323.798	101323.841	101322.964	101324.716	0.958314386	0.222367584	0	23.2	0	0	3
197	17	0.52	4.0945262	101324.374	101323.831	101322.964	101324.716	0.949354638	0.221838168	0	23.3	0	0	3
198	17	0.523253078	4.1153106	101324.371	101323.845	101322.964	101324.716	0.949354638	0.221315859	0	23.3	0	0	3
199	17	0.526470103	4.136095	101323.404	101323.825	101322.964	101324.716	0.890162564	0.220800514	0	24.8	0	0	3
200	17	0.529725705	4.15687939	101323.868	101323.856	101322.964	101324.716	0.878611956	0.220291995	0	25	0	0	3
201	17	0.53	4.17766379	101323.361	101323.814	101322.964	101324.374	0.851551442	0.219790167	0	25.8	0	0	3
202	17	0.533243591	4.19844819	101323.943	101323.818	101322.964	101324.374	0.684882503	0.21920126	0	32	0	0	3
203	17	0.536516318	4.21923259	101323.729	101323.818	101322.964	101324.374	0.532115723	0.218206181	0	41	0	0	3
