Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
84	7	0.110940511	0.927018303	293.197169	293.197954	293.197169	293.199158	0.00161743096	0	0	0	0	0	3
85	7	0.112761802	0.938054235	293.197165	293.197911	293.197165	293.199104	0.00163692339	0	0	0	0	0	3
86	8	0.11458314	0.949090167	293.197163	293.197869	293.197163	293.19905	0.00165482901	0	0	0	0	0	3
87	8	0.116403968	0.960126099	293.197164	293.197828	293.197163	293.198993	0.00167103793	0	0	0	0	0	3
88	8	0.118224165	0.971162031	293.197164	293.197789	293.197163	293.198935	0.00168553534	0	0	0	0	0	3
89	8	0.12004511	0.982197964	293.197169	293.197751	293.197163	293.198876	0.00169820005	0	0	0	0	0	3
90	8	0.121865663	0.993233896	293.197174	293.197714	293.197163	293.198816	0.00165212848	0	0	0	0	0	3
91	8	0.123686247	1.00426983	293.197179	293.197679	293.197163	293.198754	0.00159090407	8.37448556e-05	0	5.2	0	0	3
92	8	0.125505588	1.01530576	293.197188	293.197646	293.197163	293.198698	0.00153438557	8.37448556e-05	0	5.4	0	0	3
93	8	0.127324119	1.02634169	293.197194	293.197613	293.197163	293.198634	0.00147074218	8.37448556e-05	0	5.6	0	0	3
94	8	0.12913658	1.03737762	293.197206	293.197583	293.197163	293.198577	0.00141319523	8.37448556e-05	0	5.9	0	0	3
95	8	0.130948332	1.04841356	293.197216	293.197553	293.197163	293.198515	0.00135134584	8.37448556e-05	0	6.1	0	0	3
96	8	0.132753794	1.05944949	293.197228	293.197526	293.197163	293.198455	0.00129191096	8.37448556e-05	0	6.4	0	0	3
97	8	0.134559419	1.07048542	293.19724	293.1975	293.197163	293.198396	0.00123220109	8.37448556e-05	0	6.7	0	0	3
98	9	0.136359157	1.08152135	293.197255	293.197475	293.197163	293.198336	0.00117247596	8.37448556e-05	0	7.1	0	0	3
99	9	0.138159196	1.09255729	293.197267	293.197452	293.197163	293.198274	0.0011105474	8.37448556e-05	0	7.5	0	0	3
100	9	0.139954495	1.10359322	293.197284	293.197431	293.197163	293.198216	0.0010522947	8.37448556e-05	0	7.9	0	0	3
101	9	0.141750661	1.11462915	293.197296	293.197411	293.197163	293.198157	0.000993684518	8.37448556e-05	0	8.4	0	0	3
102	9	0.143542752	1.12566508	293.197314	293.197393	293.197163	293.198099	0.000935584859	8.37448556e-05	0	8.9	0	0	3
103	9	0.145336526	1.13670101	293.197327	293.197376	293.197163	293.198042	0.000878240471	8.37448556e-05	0	9.5	0	0	3
104	9	0.147127005	1.14773695	293.197346	293.197361	293.197163	293.197985	0.00082161159	8.37448556e-05	0	10.1	0	0	3
105	9	0.148919941	1.15877288	293.19736	293.197347	293.197163	293.197929	0.000765737737	8.37448556e-05	0	10.9	0	0	3
106	9	0.150710183	1.16980881	293.197378	293.197335	293.197163	293.197874	0.000710710259	8.37448556e-05	0	11.7	0	0	3
107	10	0.152503938	1.18084474	293.197396	293.197325	293.197163	293.19782	0.000656686805	8.37448556e-05	0	12.7	0	0	3
108	10	0.15429501	1.19188067	293.197414	293.197316	293.197163	293.197767	0.000603808127	8.37448556e-05	0	13.8	0	0	3
109	10	0.156089989	1.20291661	293.197431	293.197308	293.197163	293.197716	0.000552357127	8.37448556e-05	0	15.1	0	0	3
110	10	0.157883128	1.21395254	293.197453	293.197302	293.197163	293.197666	0.000502342682	8.37448556e-05	0	16.6	0	0	3
111	10	0.159678119	1.22498847	293.197472	293.197298	293.197163	293.197618	0.000454128625	8.37448556e-05	0	18.4	0	0	3
112	10	0.161468542	1.2360244	293.197495	293.197295	293.197163	293.197571	0.000407825656	8.37448556e-05	0	20.5	0	0	3
113	10	0.163255009	1.24706034	293.197517	293.197294	293.197163	293.197527	0.000363563677	8.37448556e-05	0	23	0	0	3
114	10	0.165038693	1.25809627	293.197545	293.197294	293.197163	293.197545	0.00038154376	8.37448556e-05	0	21.9	0	0	3
115	10	0.16682356	1.2691322	293.19757	293.197296	293.197163	293.19757	0.000406640832	8.37448556e-05	0	20.5	0	0	3
116	10	0.168604246	1.28016813	293.1976	293.197299	293.197163	293.1976	0.000436652007	8.37448556e-05	0	19.1	0	0	3
117	11	0.170382132	1.29120406	293.19763	293.197304	293.197163	293.19763	0.000466176295	8.37448556e-05	0	17.9	0	0	3
118	11	0.172158122	1.30224	293.197662	293.19731	293.197163	293.197662	0.000498657238	8.37448556e-05	0	16.7	0	0	3
119	11	0.17393288	1.31327593	293.197701	293.197318	293.197163	293.197701	0.000537909266	8.37448556e-05	0	15.5	0	0	3
120	11	0.175710364	1.32431186	293.197737	293.197328	293.197163	293.197737	0.000573583776	8.37448556e-05	0	14.6	0	0	3
121	11	0.177485187	1.33534779	293.197775	293.197338	293.197163	293.197775	0.000611759642	8.37448556e-05	0	13.6	0	0	3
122	11	0.179259722	1.34638373	293.19782	293.19735	293.197163	293.19782	0.000656212972	8.37448556e-05	0	12.7	0	0	3
123	11	0.181037628	1.35741966	293.19786	293.197364	293.197163	293.19786	0.000696716526	8.37448556e-05	0	12	0	0	3
124	11	0.182814167	1.36845559	293.197903	293.197376	293.197163	293.197903	0.000739999852	8.37448556e-05	0	11.3	0	0	3
125	11	0.184593259	1.37949152	293.19795	293.197392	293.197163	293.19795	0.000786602529	8.37448556e-05	0	10.6	0	0	3
126	11	0.186374954	1.39052745	293.197992	293.197409	293.197163	293.197992	0.00079506881	8.37448556e-05	0	10.5	0	0	3
127	11	0.18815629	1.40156339	293.198036	293.197428	293.197163	293.198036	0.000748974229	8.37448556e-05	0	11.1	0	0	3
128	11	0.18994321	1.41259932	293.198078	293.197447	293.197163	293.198078	0.000703815208	8.37448556e-05	0	11.8	0	0	3
129	12	0.191728921	1.42363525	293.198118	293.197468	293.197163	293.198118	0.000659692479	8.37448556e-05	0	12.6	0	0	3
130	12	0.193516194	1.43467118	293.198153	293.197489	293.197163	293.198153	0.000616651527	8.37448556e-05	0	13.5	0	0	3
131	12	0.19530289	1.44570712	293.19819	293.197511	293.197163	293.19819	0.00057478655	8.37448556e-05	0	14.5	0	0	3
132	12	0.197091961	1.45674305	293.198218	293.197534	293.197164	293.198218	0.000534159508	8.37448556e-05	0	15.6	0	0	3
133	12	0.198878334	1.46777898	293.198249	293.197558	293.197164	293.198249	0.000494789937	8.37448556e-05	0	16.9	0	0	3
134	12	0.2	1.47881491	293.198262	293.197576	293.197169	293.198262	0.000456790476	8.37448556e-05	0	18.3	0	0	3
135	12	0.201787618	1.48985084	293.198287	293.197601	293.197174	293.198287	0.000420215727	8.37448556e-05	0	19.9	0	0	3
136	12	0.203578179	1.50088678	293.198303	293.197626	293.197179	293.198303	0.000385046322	8.37448556e-05	0	21.7	0	0	3
137	12	0.205366785	1.51192271	293.198322	293.197651	293.197188	293.198322	0.000356959987	8.37448556e-05	0	23.4	0	0	3
138	12	0.207159104	1.52295864	293.198332	293.197676	293.197194	293.198332	0.000382219954	8.37448556e-05	0	21.9	0	0	3
139	12	0.20894993	1.53399457	293.198343	293.197702	293.197206	293.198343	0.00040759896	8.37448556e-05	0	20.5	0	0	3
140	12	0.210744168	1.5450305	293.198348	293.197727	293.197216	293.198348	0.000432823613	8.37448556e-05	0	19.3	0	0	3
141	13	0.212535781	1.55606644	293.198356	293.197752	293.197228	293.198356	0.000457972008	8.37448556e-05	0	18.2	0	0	3
142	13	0.214328581	1.56710237	293.198355	293.197777	293.19724	293.198356	0.000482817327	8.37448556e-05	0	17.3	0	0	3
143	13	0.216117184	1.5781383	293.198354	293.197801	293.197255	293.198356	0.000507360525	8.37448556e-05	0	16.5	0	0	3
144	13	0.21790253	1.58917423	293.198351	293.197826	293.197267	293.198356	0.000531454978	8.37448556e-05	0	15.7	0	0	3
145	13	0.219689669	1.60021017	293.198345	293.197849	293.197284	293.198356	0.000555173918	8.37448556e-05	0	15	0	0	3
146	13	0.221472669	1.6112461	293.198338	293.197872	293.197296	293.198356	0.000578314209	8.37448556e-05	0	14.4	0	0	3
147	13	0.223253332	1.62228203	293.198329	293.197895	293.197314	293.198356	0.000600997338	8.37448556e-05	0	13.9	0	0	3
